대학 입학 구분,진로 선택 및 취업준비 프로그램 참여 횟수,GPA,학자금대출 금액,휴학 횟수,석사/박사 재학여부
1,3,84.44,0,0,0
1,3,71.11,2000,0,0
1,0,73.33,0,0,0
1,0,80,0,0,0
1,1,95.56,0,0,0
1,0,80,0,0,0
1,4,91.11,0,0,0
1,7,84.44,0,0,0
1,4,73.33,0,0,0
1,0,88.89,0,0,0
1,3,77.78,0,0,0
1,2,68.89,0,0,0
1,3,84.44,0,0,0
2,4,91.11,0,0,0
1,2,84.44,0,0,0
1,7,88.89,1200,1,0
1,4,82.22,400,0,0
1,6,80,0,0,0
1,3,82.22,0,0,0
1,3,82.22,1000,0,0
1,0,93.33,0,0,0
1,0,91.11,3000,0,0
1,0,88.89,0,0,0
1,1,64.44,0,0,0
1,0,84.44,1300,0,0
1,3,44.44,100,0,0
1,3,71.11,500,0,0
1,3,66.67,1000,0,0
1,0,93.33,0,0,0
1,0,82.22,0,0,0
1,2,62.22,600,0,0
1,2,95.56,500,0,0
1,3,75.56,0,0,0
1,8,95.56,0,0,0
1,1,80,0,0,0
1,2,88.89,0,0,0
1,0,66.67,0,0,0
1,0,93.33,0,0,0
1,0,95.56,0,0,0
1,6,95.56,150,1,0
1,0,71.11,0,0,0
1,1,66.67,600,0,0
1,2,93.33,0,0,0
1,3,93.33,400,0,0
1,2,84.44,0,0,0
1,0,88.89,0,0,0
1,4,84.44,0,2,0
1,1,86.67,0,0,0
1,0,84.44,0,0,0
1,0,84.44,0,0,0
1,4,55.56,0,0,0
1,0,60,0,1,0
1,3,88.89,0,0,0
1,2,68.89,0,1,0
1,1,88.89,0,0,0
1,0,60,0,1,0
1,2,91.11,0,0,0
2,0,86.67,0,0,0
1,5,84.44,0,0,0
1,6,88.89,0,0,0
1,1,86.67,0,0,0
1,0,86.67,0,0,0
1,3,84.44,300,0,0
1,1,77.78,0,0,0
1,0,88.89,0,0,0
1,7,88.89,0,0,0
1,1,82.22,500,0,0
1,0,77.78,400,0,0
1,1,71.11,10,0,0
1,1,77.78,0,0,0
1,0,84.44,0,0,0
1,4,84.44,0,0,0
1,4,84.44,0,0,0
2,0,80,0,0,0
1,4,66.67,0,0,0
1,1,75.56,0,0,0
1,4,84.44,360,0,0
1,6,84.44,250,0,0
2,3,77.78,0,0,0
1,4,66.67,0,0,0
1,2,95.56,0,0,0
1,0,66.67,0,0,0
1,2,88.89,0,0,0
1,5,84.44,400,0,0
1,0,77.78,0,0,0
2,1,84.44,3200,0,0
1,2,66.67,2000,0,0
1,5,66.67,0,0,0
1,4,93.33,0,0,0
1,0,66.67,1200,0,0
1,1,66.67,0,0,0
1,0,88.89,0,0,0
1,2,77.78,0,0,0
1,4,84.44,300,0,0
2,3,88.89,0,0,0
1,2,95.56,0,0,0
1,0,66.67,250,0,0
1,1,66.67,0,0,0
1,2,66.67,1500,0,0
1,0,88.89,0,0,0
1,6,82.22,0,0,0
1,3,84.44,0,0,0
1,2,77.78,2000,1,0
1,2,66.67,0,0,0
1,1,75.56,1200,0,0
1,4,66.67,0,0,0
1,4,80,0,0,0
1,0,73.33,0,0,0
1,1,71.11,0,0,0
1,2,93.33,0,0,0
1,3,95.56,0,0,0
1,0,77.78,0,0,0
1,7,95.56,0,0,0
1,0,82.22,0,0,0
1,3,84.44,900,0,0
1,3,71.11,700,1,0
1,6,82.22,0,0,0
1,5,82.22,600,1,0
1,0,86.67,2000,0,0
1,0,93.33,0,0,0
1,4,91.11,550,0,0
1,1,88.89,0,0,0
1,0,73.33,0,0,0
1,3,95.56,0,0,0
1,2,55.56,0,0,0
1,5,77.78,0,0,0
1,3,57.78,0,0,0
1,0,84.44,0,1,0
1,3,84.44,0,0,0
1,5,75.56,1800,1,0
1,2,84.44,150,0,0
1,0,77.78,0,0,0
1,3,82.22,0,0,0
1,3,80,0,1,0
1,4,88.89,0,0,0
1,2,84.44,1000,0,0
1,7,77.78,0,0,0
1,4,77.78,0,0,0
1,4,66.67,1200,3,0
1,6,77.78,0,0,0
1,0,80,0,0,0
1,0,82.22,0,0,0
1,1,88.89,0,1,0
1,3,77.78,0,0,0
1,0,75.56,0,1,0
1,2,88.89,0,0,0
1,2,82.22,0,0,0
1,0,66.67,600,1,0
1,2,88.89,0,0,0
1,0,77.78,1200,0,0
1,0,82.22,0,1,1
1,2,71.11,0,1,0
1,0,93.33,0,1,0
1,1,77.78,800,0,0
1,5,66.67,100,0,0
1,2,77.78,0,0,0
1,2,68.89,150,0,0
1,2,88.89,0,0,0
1,1,66.67,0,1,0
1,0,88.89,290,0,0
1,0,77.78,0,0,0
1,0,91.11,0,0,0
1,1,64.44,0,1,0
1,5,77.78,0,0,0
1,5,93.33,0,0,0
1,3,66.67,0,1,0
1,3,77.78,1000,2,0
1,2,88.89,2100,0,0
1,3,88.89,0,0,0
1,3,66.67,300,0,0
1,1,84.44,0,0,0
1,4,71.11,0,0,0
1,1,82.22,500,0,0
1,4,84.44,0,0,0
1,1,88.89,750,0,0
2,1,86.67,0,0,0
1,1,88.89,0,0,0
1,7,84.44,1000,0,0
1,4,77.78,1400,0,0
1,1,91.11,600,0,0
1,5,84.44,0,2,0
1,7,88.89,1000,0,0
1,0,93.33,0,0,0
1,4,84.44,900,1,0
1,0,88.89,0,0,0
1,0,66.67,0,0,0
1,0,88.89,0,0,0
1,3,91.11,0,0,0
1,3,97.78,0,0,0
1,1,86.67,0,2,0
1,0,75.56,100,0,0
1,0,95.56,0,0,0
1,0,71.11,0,0,0
1,0,77.78,0,0,0
1,0,84.44,1800,0,0
1,5,55.56,0,0,0
1,5,66.67,0,0,0
1,3,95.56,0,0,0
1,4,84.44,0,0,0
1,1,51.11,2000,2,0
1,3,91.11,0,0,0
1,0,80,1500,0,0
1,5,91.11,900,0,0
1,0,88.89,900,0,0
1,0,64.44,0,0,0
1,1,71.11,0,0,0
2,1,93.33,2000,0,1
