본분교,국공사립,학위과정유형,주야간,전공계열,전공_소분류_코드,학교유형,학교소재지역,성별,연령,혼인여부 및 배우자 학력,아버지 학력,어머니 학력,부모님 소득,부모님 자산,가정의 경제적 지원,대학 입학 구분,진로 선택 및 취업준비 프로그램 참여 횟수,GPA,학자금대출 금액,휴학 횟수,석사/박사 재학여부,구직기간(통합),건강한정도,재학중 일자리 경험,일자리 횟수,시간총합,연수횟수,토익,토스등급,오픽점수,토플ibt,탭스,체류시간,취업여부
1,3,3,1,2,14,1,8,2,23,0,6,4,7,6,40,1,0,77.78,0,0,0,4,3,1,1,0,0,0,0,0,0,0,0,1
1,3,5,2,2,14,1,4,2,24,0,4,4,1,1,0,1,3,93.33,120,0,0,3,4,1,1,0,0,0,0,0,0,0,0,1
1,3,3,1,2,14,1,4,2,21,0,6,4,5,3,0,1,2,93.33,0,0,0,4,5,2,0,0,0,0,0,0,0,0,0,1
1,3,3,1,2,14,1,10,1,66,4,2,1,0,0,0,1,4,86.67,0,0,0,26,5,2,0,212,0,0,0,0,0,0,0,1
1,3,2,2,2,14,1,14,2,54,6,4,2,0,3,0,1,0,95.56,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,1
1,3,2,2,2,14,1,14,2,55,7,2,2,1,5,0,1,0,73.33,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,1
1,3,3,1,2,14,1,14,1,54,4,4,3,0,0,20,1,0,77.78,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0
1,3,3,1,2,14,1,14,2,44,5,2,2,1,4,0,1,4,88.89,0,0,0,6,3,2,0,0,0,0,0,0,0,0,0,1
1,3,3,2,2,14,1,14,2,48,4,2,2,1,3,0,1,0,86.67,0,0,0,4,4,2,0,0,0,0,0,0,0,0,0,1
1,3,3,1,2,14,1,14,2,56,4,6,4,4,3,0,1,1,95.56,0,0,0,13,4,2,0,0,0,0,0,0,0,0,0,1
